onset	duration	label
18.8	3.735	eyes_closed	
52.115	3.515	eyes_closed	
95.195	4.01	eyes_closed	
107.31	4.115	eyes_closed	
123.185	3.605	eyes_closed	
127.235	4.23	eyes_closed	
175.225	4.36	eyes_closed	
180.405	4.385	eyes_closed	
203.015	4.035	eyes_closed	
210.56	3.96	eyes_closed	
215.995	4.305	eyes_closed	
221.03	3.855	eyes_closed	
226.645	3.865	eyes_closed	
242.39	3.315	eyes_closed	
301.605	4.205	eyes_closed	
306.23	4.425	eyes_closed	
315.615	4.44	eyes_closed	
320.63	4.305	eyes_closed	
368.16	4.31	eyes_closed	
375.325	4.23	eyes_closed	
443.75	3.835	eyes_closed	
458.185	3.84	eyes_closed	
469.57	3.825	eyes_closed	
480.6	3.345	eyes_closed	
