onset	duration	label
3.97	4.505	eyes_closed	
15.965	2.955	eyes_closed	
34.08	4.9	eyes_closed	
45.755	3.13	eyes_closed	
51.38	3.835	eyes_closed	
56.55	2.83	eyes_closed	
61.25	2.63	eyes_closed	
67.69	9.94	eyes_closed	
83.235	6.665	eyes_closed	
139.88	3.76	eyes_closed	
151.805	2.745	eyes_closed	
160.915	4.55	eyes_closed	
178.7	4.055	eyes_closed	
201.135	4.01	eyes_closed	
214.365	2.8	eyes_closed	
220.44	6.77	eyes_closed	
247.67	3.635	eyes_closed	
272.915	2.7	eyes_closed	
281.82	4.065	eyes_closed	
288.55	4.2	eyes_closed	
296.59	2.835	eyes_closed	
300.755	3.335	eyes_closed	
319.68	3.655	eyes_closed	
